# (C) PRH 2017
#  extension(m),landscape(J),tilted(J)
6.309207631288522692e-08,1.155967493727743378e-19,-3.891398611303074114e-19
6.315115959656615366e-08,1.162143169579132570e-19,-3.889949598146159189e-19
6.330541034532904776e-08,1.195157863072739408e-19,-3.869274964553583860e-19
6.332305828267754198e-08,1.189389138000441938e-19,-3.876455524613760823e-19
6.336166665019345006e-08,1.201638380261515393e-19,-3.867294951753960138e-19
6.356211888592904585e-08,1.221992110869065916e-19,-3.862977400005257550e-19
6.360656022513999462e-08,1.227312992580506094e-19,-3.861211825430693092e-19
6.383221074293649526e-08,1.251982655154419059e-19,-3.854594204280500717e-19
6.388521699284581315e-08,1.249156009713357399e-19,-3.861661349714307748e-19
6.391616711156883560e-08,1.257332061264845650e-19,-3.855961307660661273e-19
6.394739928444699282e-08,9.425711674181320033e-20,-4.173220775337626840e-19
6.399827328304619666e-08,9.197691338803052274e-20,-4.200092728763389662e-19
6.407584255348411727e-08,1.268736016100020465e-19,-3.857331388178708715e-19
6.410256006128742000e-08,1.281419614375229138e-19,-3.846785190527764505e-19
6.416930156030647497e-08,1.067682593361903986e-19,-4.065861531462613731e-19
6.418359560034366807e-08,1.148319322876276328e-19,-3.986368325151216745e-19
6.420393132028505934e-08,1.184197704117434410e-19,-3.952116801505370755e-19
6.425694611033269217e-08,1.128492388254031929e-19,-4.012063300572583075e-19
6.427705456171908179e-08,1.287733428645163249e-19,-3.854430936292362378e-19
6.432558703240974418e-08,1.297372418621534521e-19,-3.848674543971244858e-19
6.432942028151656963e-08,1.257228182541908534e-19,-3.889125439979417730e-19
6.433333281112495518e-08,9.209051243963205804e-20,-4.225761500493675356e-19
6.441641758872994871e-08,1.302817316140711654e-19,-3.850496090957684185e-19
6.442086720288755083e-08,9.911296370269018114e-20,-4.162539739204101616e-19
6.443367664101376472e-08,1.102739337299149429e-19,-4.051954793981951701e-19
6.449054651921196549e-08,1.264766834761666809e-19,-3.894476886775290702e-19
6.449548080045659432e-08,1.300795232843983469e-19,-3.858843231192543561e-19
6.451181079021139756e-08,9.185710914620868258e-20,-4.242373771754824866e-19
6.452287895525779995e-08,1.309966589407326251e-19,-3.851863727013297505e-19
6.454494873306256968e-08,1.315905530297209052e-19,-3.847690368347796012e-19
6.456829448545957678e-08,6.903856021071641231e-20,-4.475077956729602433e-19
6.459050572962139935e-08,8.142045889842148670e-20,-4.353035869385497325e-19
6.461597644073932027e-08,8.727541363148371437e-20,-4.296523978944308806e-19
6.466729205885217317e-08,7.931835811213201066e-20,-4.380199783586853257e-19
6.472850367221301707e-08,9.393098099952173973e-20,-4.238970483781823375e-19
6.492426743170021013e-08,8.113279963780490325e-20,-4.382613398157968392e-19
6.501303876522317672e-08,7.678276175012735233e-20,-4.433215483716581036e-19
6.528498217785705947e-08,7.584198772697035470e-20,-4.464378696958861732e-19
6.533805197787041972e-08,7.285545744263979561e-20,-4.498489583803235713e-19
6.545381083586522546e-08,8.374361181604576560e-20,-4.398868748708760453e-19
6.545897875225662122e-08,6.238323731469565297e-20,-4.612885927033572578e-19
6.557876006033014407e-08,7.455486703348124222e-20,-4.500752134491599095e-19
6.570343089713583369e-08,6.644746525259610546e-20,-4.591799819244905082e-19
6.577410913375232793e-08,7.558494406894528402e-20,-4.506079290010733878e-19
6.586522174486498010e-08,6.534912578304999805e-20,-4.615726481758698002e-19
6.586954108093494720e-08,6.133764499569085651e-20,-4.656186836517886674e-19
6.607235452200162769e-08,4.756699404930823726e-20,-4.810118421267047434e-19
6.608565243888234798e-08,6.203866060901113549e-20,-4.666465589020475700e-19
6.609960670176967184e-08,5.816090617296076853e-20,-4.706359474411965319e-19
6.613213293966261937e-08,0.000000000000000000e+00,-5.290570635173009527e-19
6.631305268948370368e-08,5.020820767153535376e-20,-4.802962138443343439e-19
6.636085621898971595e-08,6.097497077251250760e-20,-4.699118789794052534e-19
6.636459730953603393e-08,4.749147098860305195e-20,-4.834253074876852099e-19
6.661691021847936184e-08,4.963307808294363315e-20,-4.833022036648912897e-19
6.666463435061378138e-08,3.217820054374954963e-20,-5.011388742611606635e-19
6.669658422615433402e-08,4.646555733136379399e-20,-4.871071164778709107e-19
6.670242996220737058e-08,3.837131855231956577e-20,-4.952481211453393988e-19
6.676475192530548777e-08,4.338883620709090298e-20,-4.907291791953529281e-19
6.681182399473670912e-08,8.337755515772203813e-21,-5.261568364421215816e-19
6.686650821658341407e-08,1.678104647098065540e-20,-5.181510192616866397e-19
6.696908836880027333e-08,2.508356491793098576e-20,-5.106691420324712170e-19
6.699043556316709609e-08,3.669865583108013500e-20,-4.992248286742566807e-19
6.724450622886433087e-08,1.304068048446460902e-20,-5.249153693464500788e-19
6.728719083308606004e-08,1.970215707299041665e-20,-5.185953695916980193e-19
6.750825013299530824e-08,1.720121400574266877e-20,-5.228647870582198453e-19
6.758714370430151401e-08,1.451198715167724927e-20,-5.261851624827348493e-19
6.771755260079848500e-08,1.373860694809686230e-20,-5.280018138582909664e-19
6.777985808156083212e-08,1.086157307860669522e-20,-5.313772915738799508e-19
6.795793608186740020e-08,1.121794112070150610e-20,-5.324455475342376718e-19
6.813389109453861267e-08,1.144392822777450387e-20,-5.336272005285343664e-19
6.826404894768784149e-08,1.112509240933649338e-20,-5.349872991721661904e-19
6.845261728055026703e-08,1.233378557456652418e-20,-5.352871526698355893e-19
6.858899147074672642e-08,1.190510286743919488e-20,-5.368068288985346139e-19
6.870769442218844238e-08,1.139778345350868182e-20,-5.382637719239989116e-19
6.888707531396503804e-08,1.197958253887565279e-20,-5.391170199728446117e-19
6.907669295940282438e-08,1.313189128691063574e-20,-5.394816523883120412e-19
6.919976565197438069e-08,1.288500953886203961e-20,-5.407131156769327935e-19
6.936714926794899919e-08,1.381042548247568757e-20,-5.411267686611162850e-19
6.952299758591976384e-08,1.435301606756268917e-20,-5.418309646197953056e-19
6.966460550455229297e-08,1.478389361805756373e-20,-5.425329504183607656e-19
6.980315622212303805e-08,1.529880875381783557e-20,-5.431264410231664519e-19
6.995925293992593776e-08,1.590626322314395245e-20,-5.437677602962634727e-19
7.012495235650213738e-08,1.652515220693289245e-20,-5.444744666450842037e-19
7.027459575580261406e-08,1.750790369096894359e-20,-5.446888623554518938e-19
7.041937689291890994e-08,1.780397498178731741e-20,-5.455510401615639348e-19
7.058236405483637026e-08,1.823265084357725625e-20,-5.464262615951138359e-19
7.073199732022103406e-08,1.918613870767499686e-20,-5.466698398540933088e-19
7.085132733061212514e-08,1.913887601616484494e-20,-5.476717426287322304e-19
7.103114002028966926e-08,2.027309145026582797e-20,-5.479760287120514981e-19
7.118425199140073453e-08,2.113858425556293350e-20,-5.483354316756429494e-19
7.150292214979302214e-08,2.398496129651044791e-20,-5.480384159018337109e-19
